VÄÄRTUSPÄEV;TEHINGUPÄEV;TEHING;SÜMBOL;VÄÄRTPABER;KOGUS;HIND;VALUUTA;NETOSUMMA;TEENUSTASU;KOKKU;VIIDE;KOMMENTAAR
06.06.2024;05.06.2024;ost;FLNC;Fluence Energy Inc;150;22,86;USD;-3429;-9,78;-3438,78;904061446;
07.06.2024;05.06.2024;ost;HLMBK095034FA;Holm Bank 9.50% võlakiri 30.05.2034;2;1061,85;EUR;-2123,7;-10,24;-2133,94;903745878;
07.06.2024;05.06.2024;ost;LHV1T;LHV Group;2300;3,5;EUR;-8050;0;-8050;903869459;
10.06.2024;10.06.2024;split-;NVDA;NVIDIA Corporation;-20;780;USD;0;0;0;907202454;split 10:1
10.06.2024;10.06.2024;split+;NVDA;NVIDIA Corporation;200;78;USD;0;0;0;907202454;split 10:1
18.06.2024;17.06.2024;ost;ADBE;Adobe Systems Inc;20;508,39;USD;-10167,8;-14,23;-10182,03;912472204;
20.06.2024;18.06.2024;ost;NEM;NEWMONT MNG CORP;175;41,47;USD;-7257,25;-10,15;-7267,4;913288851;
25.06.2024;24.06.2024;müük;NVDA;NVIDIA Corporation;-100;122,5;USD;12250;-17,15;12232,85;916672966;
27.06.2024;26.06.2024;ost;MU;MICRON TECHNOLOGY INC;100;142;USD;-14200;-19,88;-14219,88;917962047;
11.07.2024;10.07.2024;ost;ILMN;Illumina Inc ;100;113,18;USD;-11318;-15,85;-11333,85;928011626;
18.07.2024;16.07.2024;ost;BIGB080033A;Bigbank 8% allutatud võlakiri 8% 16.02.2033;20;1031,778;EUR;-20635,56;-47,27;-20682,83;931700374;
18.07.2024;17.07.2024;müük;CRWD;CROWDSTRIKE HOLDINGS INC - A;-35;358,5874286;USD;12550,56;-17,56;12533;932494823;
18.07.2024;17.07.2024;müük;HYLN;Hyliion Holdings Corporation;-1000;2,51;USD;2510;-9,84;2500,16;932677233;
19.07.2024;17.07.2024;ost;INBB055031A;Inbank 5.5% allutatud võlakiri 15.12.2031;2;936,21;EUR;-1872,42;-9,74;-1882,16;932408645;
25.07.2024;24.07.2024;müük;META;Meta Platforms Inc;-20;469,89;USD;9397,8;-13,16;9384,64;936528224;
25.07.2024;24.07.2024;müük;ADBE;Adobe Systems Inc;-40;535,626;USD;21425,04;-30;21395,04;936535478;
25.07.2024;24.07.2024;müük;MU;MICRON TECHNOLOGY INC;-100;111,9891;USD;11198,91;-15,67;11183,24;936551841;
29.07.2024;26.07.2024;ost;FLNC;Fluence Energy Inc;250;16,49;USD;-4122,5;-9,77;-4132,27;937700032;
30.07.2024;29.07.2024;ost;CRWD;CROWDSTRIKE HOLDINGS INC - A;35;261,99;USD;-9169,65;-12,84;-9182,49;939148233;
01.08.2024;30.07.2024;ost;BIGB080033A;Bigbank 8% allutatud võlakiri 8% 16.02.2033;20;1034,6665;EUR;-20693,33;-47,39;-20740,72;939551068;
01.08.2024;31.07.2024;ost;MSFT;Microsoft Corporation;30;411;USD;-12330;-17,26;-12347,26;940322942;
01.08.2024;31.07.2024;ost;SMCI;SuperMicro Computer Inc.;20;700;USD;-14000;-19,6;-14019,6;940524330;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;minu kommentaarid:;;periood 01.06.24-01.08.24;;;;;;;;
;;;;siin failis on koondatud sama väärtpaberi sama päeva tehingud;;;;;;;;
;;;;"tehingud on sorteeritud ""väärtuspäev"" alusel vanimast uuemani";;;;;;;;
;;;;NB! Eriline tehing split - ei muuda raha, muudab ainult koguseid portfellides!;;;;;;;;
